ratio,media,source,jobs,recordsize,mode,iters,source_bytes,elapsed_ms,write_bw_mib_s,cpu_active_pct,cpu_system_pct,cpu_iowait_pct,cpu_active_s_per_gib_calc,compressratio,qat_byte_share_pct_calc,comp_requests_delta,comp_in_delta,dc_fails_delta,sha_ok,effective_level,effective_hufftype,effective_min_buf,effective_max_buf,stamp
high,hdd,tiff,4,1M,qat,2,765384432.0,1113.095,655.885,4.014951,3.91,1.24,4.012478337751213,25.555,100.2839357464224,1464.0,1535115264.0,0,yes,4,dynamic,8192,1048576,20260524T090352Z
high,hdd,tiff,4,1M,sw,2,765384432.0,924.668,789.46,10.787878,12.92,1.58,8.956164755307501,25.26,0.0,0,0,0,yes,4,dynamic,8192,1048576,20260524T090352Z
high,hdd,tiff,8,128K,qat,2,1530768864.0,1591.5369999999998,917.27,5.129613,7.0600000000000005,4.67,3.6649796260725584,17.16,100.0441859000341,23368.0,3062890496.0,0,yes,4,dynamic,8192,1048576,20260524T090352Z
high,hdd,tiff,8,128K,sw,2,1530768864.0,1508.946,968.84,12.608831,18.54,4.035,8.541197136432181,16.91,0.0,0,0,0,yes,4,dynamic,8192,1048576,20260524T090352Z
high,hdd,tiff,8,512K,qat,2,1530768864.0,1555.3065000000001,938.75,3.7792440000000003,5.33,3.215,2.6387068417990136,25.01,100.23256077933918,5853.0,3068657664.0,0,yes,4,dynamic,8192,1048576,20260524T090352Z
high,hdd,tiff,8,512K,sw,2,1530768864.0,1308.9830000000002,1116.205,11.8057385,19.995,3.17,6.937410438350512,24.52,0.0,0,0,0,yes,4,dynamic,8192,1048576,20260524T090352Z
high,hdd,tiff,8,1M,qat,2,1530768864.0,1515.6445,965.0,3.6878115,5.345000000000001,2.865,2.5092058189091597,25.58,100.83193539530994,2944.0,3087007744.0,0,yes,4,dynamic,8192,1048576,20260524T090352Z
high,hdd,tiff,8,1M,sw,2,1530768864.0,1480.6835,986.395,12.444311500000001,18.655,3.115,8.271863026285319,25.28,0.0,0,0,0,yes,4,dynamic,8192,1048576,20260524T090352Z
high,nvme,mixed,1,128K,qat,2,201326592.0,980.793,195.82,6.38143,1.885,0.405,21.3635818632192,1.88,100.0,3072.0,402653184.0,0,yes,4,dynamic,8192,1048576,20260524T090352Z
high,nvme,mixed,1,128K,sw,2,201326592.0,773.6215,248.2,34.013269,12.805,0.84,89.81639230697301,1.88,0.0,0,0,0,yes,4,dynamic,8192,1048576,20260524T090352Z
high,nvme,mixed,1,512K,qat,2,201326592.0,1019.23,188.42000000000002,5.267677000000001,1.495,0.77,18.32609938333014,1.96,100.0,768.0,402653184.0,0,yes,4,dynamic,8192,1048576,20260524T090352Z
high,nvme,mixed,1,512K,sw,2,201326592.0,825.6125,232.69,35.855523,12.67,0.74,101.04411471475198,1.96,0.0,0,0,0,yes,4,dynamic,8192,1048576,20260524T090352Z
high,nvme,mixed,1,1M,qat,2,201326592.0,1011.3705,189.845,5.005610000000001,1.4249999999999998,0.695,17.2800897314304,1.96,100.0,384.0,402653184.0,0,yes,4,dynamic,8192,1048576,20260524T090352Z
high,nvme,mixed,1,1M,sw,2,201326592.0,789.48,243.265,35.1089365,12.985,1.0,94.6101015484416,1.96,0.0,0,0,0,yes,4,dynamic,8192,1048576,20260524T090352Z
high,nvme,mixed,4,128K,qat,2,805306368.0,1379.75,556.675,6.3572074999999995,5.355,0.815,7.484891347733332,1.88,100.0,12288.0,1610612736.0,0,yes,4,dynamic,8192,1048576,20260524T090352Z
high,nvme,mixed,4,128K,sw,2,805306368.0,1290.4995,595.1199999999999,40.0902985,36.355000000000004,0.08,44.148488677632635,1.88,0.0,0,0,0,yes,4,dynamic,8192,1048576,20260524T090352Z
high,nvme,mixed,4,512K,qat,2,805306368.0,1723.1005,445.71,5.5286065,3.715,1.3250000000000002,8.129147412866773,1.96,100.0,3072.0,1610612736.0,0,yes,4,dynamic,8192,1048576,20260524T090352Z
high,nvme,mixed,4,512K,sw,2,805306368.0,1327.641,578.485,40.296654000000004,35.515,0.5800000000000001,45.65289814460929,1.96,0.0,0,0,0,yes,4,dynamic,8192,1048576,20260524T090352Z
high,nvme,mixed,4,1M,qat,2,805306368.0,1705.8895,450.245,5.414898,3.69,1.44,7.8824257209779205,1.96,100.0,1536.0,1610612736.0,0,yes,4,dynamic,8192,1048576,20260524T090352Z
high,nvme,mixed,4,1M,sw,2,805306368.0,1285.1965,597.575,40.0789065,36.465,0.2,43.95457737184193,1.96,0.0,0,0,0,yes,4,dynamic,8192,1048576,20260524T090352Z
high,nvme,mixed,8,128K,qat,2,1610612736.0,1674.1754999999998,917.645,6.652397499999999,9.235,1.19,4.751906521924799,1.88,100.02848307291667,24583.0,3222142976.0,0,yes,4,dynamic,8192,1048576,20260524T090352Z
high,nvme,mixed,8,128K,sw,2,1610612736.0,1943.5045,790.4000000000001,39.039345499999996,46.980000000000004,1.21,32.37254129335669,1.88,0.0,0,0,0,yes,4,dynamic,8192,1048576,20260524T090352Z
