ratio,media,source,jobs,recordsize,qat_ms,sw_ms,qat_vs_sw_pct,qat_cpu_s_per_gib,sw_cpu_s_per_gib,cpu_s_per_gib_delta_pct,qat_share_pct,compressratio_qat,compressratio_sw,dc_fails_delta,sha_ok,effective_level,effective_hufftype,effective_min_buf,effective_max_buf,stamp
low,hdd,tiff,4,1M,1000.8325,946.2725,5.765780998602406,3.1853266040057786,9.520627731074933,-66.54289303205286,100.2839357464224,21.81,25.26,0,yes,1,static,524288,1048576,20260524T083200Z
low,hdd,tiff,4,512K,995.543,964.289,3.24114451165574,3.5277349992188185,9.926916522802546,-64.46293276350757,100.00993592197862,20.4,24.51,0,yes,1,static,524288,1048576,20260524T083200Z
low,hdd,tiff,8,128K,1528.9205,1536.2875,-0.4795326395612776,8.7341963828092,8.708338115538414,0.2969368773663834,0.0,16.91,16.91,0,yes,1,static,524288,1048576,20260524T083200Z
low,hdd,tiff,8,1M,1507.779,1472.051,2.4270898222955637,2.738644903364393,8.311627610446862,-67.05043787185319,100.83193539530994,21.83,25.28,0,yes,1,static,524288,1048576,20260524T083200Z
low,hdd,tiff,8,512K,1450.7905,1385.2240000000002,4.733277794782642,2.774544618488058,7.710792077380475,-64.0173851059069,100.2839357464224,20.41,24.52,0,yes,1,static,524288,1048576,20260524T083200Z
low,nvme,mixed,1,128K,805.8695,810.168,-0.5305689684114887,97.6373544751249,101.46546175164416,-3.7728180707335426,0.0,1.88,1.88,0,yes,1,static,524288,1048576,20260524T083200Z
low,nvme,mixed,1,1M,883.2294999999999,801.8199999999999,10.153089222019904,15.768523594996905,94.43285060481708,-83.30186635900141,100.0,1.86,1.96,0,yes,1,static,524288,1048576,20260524T083200Z
low,nvme,mixed,1,512K,882.7819999999999,812.7325,8.61901056005512,16.25348952411136,94.35492435389011,-82.77409511436777,100.0,1.85,1.96,0,yes,1,static,524288,1048576,20260524T083200Z
low,nvme,mixed,4,128K,1331.9544999999998,1301.3110000000001,2.3548175647481404,45.62853926494165,44.108030594618036,3.44723772479913,0.0,1.88,1.88,0,yes,1,static,524288,1048576,20260524T083200Z
low,nvme,mixed,4,1M,1194.58,1239.663,-3.6367141715127485,5.637217795703466,42.19335340423936,-86.63955969155779,100.0,1.86,1.96,0,yes,1,static,524288,1048576,20260524T083200Z
low,nvme,mixed,4,512K,1356.154,1342.2535,1.0356091453663534,7.413718823885655,46.34093799676395,-84.00179378241467,100.0,1.85,1.96,0,yes,1,static,524288,1048576,20260524T083200Z
low,nvme,mixed,8,128K,1761.326,1770.3395,-0.5091396311272511,30.22549681437141,30.36996621382912,-0.47569825544265426,0.0,1.88,1.88,0,yes,1,static,524288,1048576,20260524T083200Z
low,nvme,mixed,8,1M,1599.5365,1920.0149999999999,-16.69145813964995,4.799960447200747,32.7823664206368,-85.35810262867683,100.48828125,1.86,1.96,0,yes,1,static,524288,1048576,20260524T083200Z
low,nvme,mixed,8,512K,1434.4775,2042.2335,-29.759378641080957,3.798324129689067,36.679979275678726,-89.6446939047002,100.22786458333333,1.85,1.96,0,yes,1,static,524288,1048576,20260524T083200Z
low,nvme,random,1,128K,739.8035,690.7225,7.10574796680288,137.88579568399277,119.45570611980376,15.428387778902092,0.0,1.0,1.0,0,yes,1,static,524288,1048576,20260524T083200Z
low,nvme,random,1,1M,398.22749999999996,703.7685,-43.41498660425979,4.0654998324864,126.57693448767743,-96.78811953462012,100.0,1.0,1.0,0,yes,1,static,524288,1048576,20260524T083200Z
low,nvme,random,1,512K,410.805,705.092,-41.73739029800366,4.3479772971264,127.2292559299857,-96.58256486266092,100.0,1.0,1.0,0,yes,1,static,524288,1048576,20260524T083200Z
low,nvme,random,4,128K,1396.5145,1395.2469999999998,0.0908441301074401,72.99429916776278,72.71833651627178,0.37949527548563905,0.0,1.0,1.0,0,yes,1,static,524288,1048576,20260524T083200Z
low,nvme,random,4,1M,751.615,1427.7779999999998,-47.35771247350778,2.2468624077525337,78.8079993899827,-97.14894119233519,100.0,1.0,1.0,0,yes,1,static,524288,1048576,20260524T083200Z
low,nvme,random,4,512K,785.3385000000001,1478.3919999999998,-46.87887245060849,2.21909904140864,81.14966448540672,-97.26542425593429,100.0,1.0,1.0,0,yes,1,static,524288,1048576,20260524T083200Z
low,nvme,random,8,128K,2315.362,2254.4025,2.704020244832053,61.55188323194326,59.64841646757281,3.1911438343132676,0.0,1.0,1.0,0,yes,1,static,524288,1048576,20260524T083200Z
low,nvme,random,8,1M,1066.1499999999999,2334.674,-54.33409546686177,1.8102621995413333,64.99669908994773,-97.21483979203907,100.48828125,1.0,1.0,0,yes,1,static,524288,1048576,20260524T083200Z
low,nvme,random,8,512K,1057.0445,2401.0744999999997,-55.97618899371927,1.7716025229491201,66.8960121472849,-97.35170682663626,100.26041666666667,1.0,1.0,0,yes,1,static,524288,1048576,20260524T083200Z
