ratio,media,source,recordsize,jobs,qat_vs_sw_pct,cpu_s_per_gib_delta_pct,qat_share_pct,compressratio_qat,dc_fails_delta
medium,hdd,random,128K,all,2.7721451402104034,2.993874514111447,0.0,1.0,0
medium,hdd,random,1M,all,2.78271055771458,1.1875182687235541,0.0,1.0,0
medium,hdd,random,512K,all,-3.292904248422564,-93.02359605300967,100.06510416666667,1.0,0
medium,hdd,tiff,128K,all,2.6415347469227703,3.077529883853879,0.0,16.89,0
medium,hdd,tiff,1M,all,-3.703816284832215,-11.34445294048991,0.0,25.236666666666668,0
medium,hdd,tiff,512K,all,4.3814461752844105,-65.18249225548679,100.10126919679321,24.55666666666667,0
medium,nvme,mixed,128K,all,-0.24254141515332858,-1.1259257375414875,0.0,1.88,0
medium,nvme,mixed,1M,all,-0.9462508913996427,1.4536047728984263,0.0,1.96,0
medium,nvme,mixed,512K,all,-10.194260996113627,-87.15571524683627,100.0759548611111,1.96,0
medium,nvme,random,128K,all,0.13967717723763715,1.1271848153189683,0.0,1.0,0
medium,nvme,random,1M,all,1.2076778238047046,2.5800816324236924,0.0,1.0,0
medium,nvme,random,512K,all,-44.864477023154414,-96.90673745327882,100.0705295138889,1.0,0
medium,nvme,tiff,128K,all,-1.2338111779458745,-1.7886233835429952,0.0,16.89,0
medium,nvme,tiff,1M,all,-1.7145767128717946,-3.3659722938117635,0.0,25.236666666666668,0
medium,nvme,tiff,512K,all,5.052670994144267,-65.96147237765642,100.0898525374414,24.55666666666667,0
unknown,hdd,mixed,128K,all,0.9222991961723044,-77.53453081660545,100.0149197048611,1.88,0
unknown,hdd,mixed,1M,all,5.060319668721251,-83.11473646460895,100.16276041666667,1.96,0
unknown,hdd,mixed,512K,all,0.060377419053432746,-83.39366630055564,100.08138020833333,1.96,0
unknown,hdd,random,128K,all,-0.33443574656394226,-89.12747479636796,100.01220703125,1.0,0
unknown,hdd,random,1M,all,-1.4563935279833693,-92.9965298223179,100.1736111111111,1.0,0
unknown,hdd,random,512K,all,-1.2415576621267468,-92.80054107910964,100.08138020833333,1.0,0
unknown,hdd,tiff,128K,all,4.964161350731133,-53.527438000324715,100.02420674616842,16.91,0
unknown,hdd,tiff,1M,all,1.6706759123089572,-67.29255400671856,100.46660229605158,25.22,0
unknown,hdd,tiff,512K,all,4.540944420848391,-64.51948586704698,100.07843587808956,24.55666666666667,0
unknown,nvme,mixed,128K,all,0.2138720721683375,-82.72588522914207,100.01627604166667,1.88,0
unknown,nvme,mixed,1M,all,-9.103153894015989,-87.56513292848577,100.1736111111111,1.96,0
unknown,nvme,mixed,512K,all,-13.244979850046436,-87.33833899156622,100.06510416666667,1.96,0
unknown,nvme,random,128K,all,-36.33928181214467,-94.42161636563903,100.01627604166667,1.0,0
unknown,nvme,random,1M,all,-43.61739543543911,-96.5093014588402,100.15190972222223,1.0,0
unknown,nvme,random,512K,all,-49.73382224437904,-97.07442014106356,100.0759548611111,1.0,0
unknown,nvme,tiff,128K,all,6.799255194597458,-58.85371375813363,100.02991507584431,16.91,0
unknown,nvme,tiff,1M,all,6.24316949592789,-66.16123802885863,100.46660229605158,25.22,0
unknown,nvme,tiff,512K,all,6.231310924548868,-67.2183623513125,100.0955608671173,24.55666666666667,0
