row_type,mode,verify_mode,recordsize,iter,jobs,source_label,source_bytes,elapsed_ms,latency_avg_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms,latency_max_ms,write_bw_mib_s,cpu_user_pct,cpu_system_pct,cpu_iowait_pct,cpu_idle_pct,compressratio,used,logicalused,comp_requests_delta,comp_in_delta,comp_out_delta,decomp_requests_delta,decomp_in_delta,decomp_out_delta,dc_fails_delta,dc_buffer_reuse_hits_delta,dc_buffer_reuse_misses_delta,dc_compress_bound_requests_delta,dc_compress_bound_fails_delta,dc_compress_bound_ns_delta,dc_compress_bound_total_bytes_delta,dc_compress_dst_total_bytes_delta,dc_compress_scratch_bytes_delta,dc_compress_scratch_saved_bytes_delta,dc_compress_overflows_delta,dc_compress_incompressible_delta,dc_compress_src_buffers_delta,dc_compress_dst_buffers_delta,dc_compress_add_buffers_delta,dc_compress_dst_total_buffers_delta,dc_compress_src_buffers_max,dc_compress_dst_buffers_max,dc_compress_add_buffers_max,dc_compress_dst_total_buffers_max,dc_compress_coalesce_requests_delta,dc_compress_coalesce_success_delta,dc_compress_coalesce_fails_delta,dc_compress_coalesce_bytes_delta,dc_compress_coalesce_alloc_ns_delta,dc_compress_coalesce_copy_ns_delta,dc_compress_coalesce_free_ns_delta,dc_compress_dst_coalesce_requests_delta,dc_compress_dst_coalesce_success_delta,dc_compress_dst_coalesce_fails_delta,dc_compress_dst_coalesce_reuse_hits_delta,dc_compress_dst_coalesce_reuse_misses_delta,dc_compress_dst_coalesce_alloc_bytes_delta,dc_compress_dst_coalesce_copy_bytes_delta,dc_compress_dst_coalesce_alloc_ns_delta,dc_compress_dst_coalesce_copy_ns_delta,dc_compress_dst_coalesce_free_ns_delta,dc_compress_scratch_alloc_ns_delta,dc_compress_scratch_free_ns_delta,dc_compress_setup_ns_delta,dc_compress_submit_ns_delta,dc_compress_wait_ns_delta,dc_compress_cleanup_ns_delta,dc_decompress_setup_ns_delta,dc_decompress_submit_ns_delta,dc_decompress_wait_ns_delta,dc_decompress_cleanup_ns_delta,dc_compress_inflight,dc_compress_inflight_max,dc_decompress_inflight,dc_decompress_inflight_max,dc_compress_async_submits_delta,dc_compress_async_submit_fails_delta,dc_compress_async_completions_delta,dc_compress_async_resumes_delta,dc_compress_async_fallbacks_delta,dc_compress_async_cancels_delta,dc_compress_async_submit_retries_delta,dc_compress_async_retry_success_delta,dc_compress_async_fail_retry_delta,dc_compress_async_fail_resource_delta,dc_compress_async_fail_other_delta,dc_compress_async_inflight,dc_compress_async_inflight_max,dc_compress_async_cap_skips_delta,sha_ok,zfs_qat_cpa_dc_level,zfs_qat_cpa_dc_hufftype,zfs_qat_dc_max_buf_size,zfs_qat_dc_max_instances,zfs_qat_dc_coalesce_src,zfs_qat_dc_coalesce_dst,zfs_qat_dc_async,zfs_qat_dc_async_submit_retries,zfs_qat_dc_async_retry_us,zfs_qat_dc_async_max_inflight,zfs_qat_dc_async_cap_policy,zfs_qat_decompress_disable,qat_kernel_cy_instances,qat_kernel_dc_instances,zfs_srcversion
raw,qat,sw,256K,1,4,Image.tif_,765384432,1022.990,,,,,,713.52,0.08,10.47,1.64,87.81,21.71x,37.8M,730M,764,200278016,8423457,0,0,0,0,764,0,764,0,198360,225354788,175243264,50113052,125130212,0,0,48896,42784,12988,55772,64,56,17,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10819085,0,21914905,9033504,9711925180,1823710,0,0,0,0,0,96,0,0,2920,0,764,764,2156,0,0,0,0,0,0,0,96,2156,yes,4,dynamic,1048576,48,0,0,1,8,100,96,fixed,1,0,6,DE2F1DB9C0B6720727096E0
raw,qat,sw,256K,2,4,Image.tif_,765384432,957.304,,,,,,762.48,0.08,11.09,1.66,87.17,21.73x,37.8M,730M,703,184287232,7958655,0,0,0,0,703,0,703,0,189351,207361801,161251328,46111879,115139449,0,0,44992,39368,11951,51319,64,56,17,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9509204,0,19757469,8319015,9111769015,1816690,0,0,0,0,0,96,0,0,2920,0,703,703,2217,0,0,0,0,0,0,0,96,2217,yes,4,dynamic,1048576,48,0,0,1,8,100,96,fixed,1,0,6,DE2F1DB9C0B6720727096E0
raw,qat,sw,256K,3,4,Image.tif_,765384432,922.892,,,,,,790.91,0.07,11.61,1.08,87.24,21.72x,37.8M,730M,710,186122240,7703988,0,0,0,0,710,0,710,0,189740,209426570,162856960,46571030,116285930,0,0,45440,39760,12070,51830,64,56,17,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7418361,0,17879273,8480485,9096543184,1996474,0,0,0,0,0,96,0,0,2920,0,710,710,2210,0,0,0,0,0,0,0,96,2210,yes,4,dynamic,1048576,48,0,0,1,8,100,96,fixed,1,0,6,DE2F1DB9C0B6720727096E0
summary,qat,sw,256K,,4,Image.tif_,765384432,,967.729,957.304,1022.990,1022.990,1022.990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,dynamic,1048576,48,0,0,1,8,100,96,fixed,,0,6,DE2F1DB9C0B6720727096E0
raw,qat,sw,1M,1,4,Image.tif_,765384432,914.201,,,,,,798.43,0.07,10.30,1.19,88.44,25.36x,30.7M,732M,250,262144000,9390355,0,0,0,0,250,0,250,0,91880,294925750,229376000,65550250,163825750,0,0,64000,56000,16250,72250,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,199955111,0,210618630,9206779,10706582477,700330,0,0,0,0,0,96,0,0,732,0,250,250,482,0,0,0,0,0,0,0,96,482,yes,4,dynamic,1048576,48,0,0,1,8,100,96,fixed,1,0,6,DE2F1DB9C0B6720727096E0
raw,qat,sw,1M,2,4,Image.tif_,765384432,849.759,,,,,,858.98,0.09,11.21,1.59,87.11,25.35x,30.7M,732M,247,258998272,9741562,0,0,0,0,247,0,247,0,88070,291386641,226623488,64763647,161859841,0,0,63232,55328,16055,71383,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4406963,0,15375118,9519137,11246795731,614880,0,0,0,0,0,96,0,0,732,0,247,247,485,0,0,0,0,0,0,0,96,485,yes,4,dynamic,1048576,48,0,0,1,8,100,96,fixed,1,0,6,DE2F1DB9C0B6720727096E0
raw,qat,sw,1M,3,4,Image.tif_,765384432,811.894,,,,,,899.04,0.15,12.03,1.87,85.94,25.35x,30.7M,732M,239,250609664,10847002,0,0,0,0,239,0,239,0,100950,281949017,219283456,62666039,156617417,0,0,61184,53536,15535,69071,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180170,0,11060071,9333223,11144006011,595430,0,0,0,0,0,96,0,0,732,0,239,239,493,0,0,0,0,0,0,0,96,493,yes,4,dynamic,1048576,48,0,0,1,8,100,96,fixed,1,0,6,DE2F1DB9C0B6720727096E0
summary,qat,sw,1M,,4,Image.tif_,765384432,,858.618,849.759,914.201,914.201,914.201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,dynamic,1048576,48,0,0,1,8,100,96,fixed,,0,6,DE2F1DB9C0B6720727096E0
raw,sw,sw,8K,1,4,Image.tif_,765384432,2309.523,,,,,,316.05,0.03,14.74,8.26,76.97,4.44x,221M,732M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,0,yes,4,dynamic,1048576,48,0,0,1,8,100,96,fixed,1,0,6,DE2F1DB9C0B6720727096E0
raw,sw,sw,8K,2,4,Image.tif_,765384432,2275.676,,,,,,320.75,0.03,15.04,8.58,76.35,4.44x,221M,732M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,0,yes,4,dynamic,1048576,48,0,0,1,8,100,96,fixed,1,0,6,DE2F1DB9C0B6720727096E0
