profile,media,jobs,recordsize,mode,iterations,sha_ok,zfs_qat_dc_profile,zfs_qat_dc_profile_recordsize,zfs_qat_dc_async,zfs_qat_dc_async_cap_policy,zfs_qat_dc_min_buf_size,zfs_qat_dc_max_buf_size,elapsed_ms_mean,write_bw_mib_s_mean,cpu_active_s_per_gib_mean,cpu_system_s_per_gib_mean,qat_byte_share_pct_mean,qat_completion_share_pct_mean,qat_fallback_share_pct_mean,qat_cap_skip_share_pct_mean,qat_wait_ns_per_mib_mean,qat_setup_ns_per_req_mean,qat_submit_ns_per_req_mean,qat_wait_ns_per_req_mean,qat_cleanup_ns_per_req_mean,qat_page_array_alloc_ns_per_req_mean,qat_page_array_free_ns_per_req_mean,qat_buffer_list_alloc_ns_per_req_mean,qat_buffer_list_free_ns_per_req_mean,qat_req_alloc_ns_per_req_mean,qat_req_free_ns_per_req_mean,qat_src_buffers_per_req_mean,qat_dst_total_buffers_per_req_mean,qat_bound_bytes_per_req_mean,qat_scratch_bytes_per_req_mean,dc_compress_async_completions_delta_mean,dc_compress_async_cap_skips_delta_mean,dc_compress_async_submits_delta_mean,dc_compress_sync_completions_delta_mean,dc_compress_sync_submits_delta_mean,zfs_qat_dc_effective_min_buf_size_mean,zfs_qat_dc_effective_max_buf_size_mean,zfs_qat_dc_effective_async_mean,zfs_qat_dc_effective_async_max_inflight_mean,dc_compress_inflight_max_mean,dc_compress_async_inflight_max_mean
default,nvme,8,512K,sw,3,yes,balanced,131072,profile,profile,profile,profile,1088.319,1351.337,15.107,15.019,0.000,,,,,,,,,,,,,,,,,,,0.000,0.000,0.000,0.000,0.000,8192.000,131072.000,0.000,96.000,50.000,0.000
throughput1m,hdd,1,1M,qat,3,yes,throughput,1048576,profile,profile,profile,profile,588.232,310.387,3.839,3.652,100.000,100.000,0.000,0.000,18005234.000,35324.171,37201.639,18005233.898,90.729,177.450,0.000,0.000,0.000,718.780,0.000,256.000,289.000,1179703.000,262201.000,183.000,0.000,183.000,0.000,0.000,524288.000,1048576.000,1.000,96.000,192.000,192.000
throughput1m,hdd,1,1M,sw,3,yes,throughput,1048576,profile,profile,profile,profile,567.172,321.787,10.374,10.286,0.000,,,,,,,,,,,,,,,,,,,0.000,0.000,0.000,0.000,0.000,524288.000,1048576.000,1.000,96.000,192.000,192.000
throughput1m,hdd,1,512K,qat,3,yes,throughput,1048576,profile,profile,profile,profile,568.167,321.280,5.428,5.333,69.507,69.497,30.503,30.503,18125681.333,18948.199,20076.167,9062840.671,90.583,132.878,0.000,0.000,0.000,656.832,0.000,128.000,145.000,589879.000,131129.000,253.667,111.333,365.000,0.000,0.000,524288.000,1048576.000,1.000,96.000,192.000,192.000
throughput1m,hdd,1,512K,sw,3,yes,throughput,1048576,profile,profile,profile,profile,564.873,323.277,9.958,9.883,0.000,,,,,,,,,,,,,,,,,,,0.000,0.000,0.000,0.000,0.000,524288.000,1048576.000,1.000,96.000,192.000,192.000
throughput1m,hdd,4,1M,qat,3,yes,throughput,1048576,profile,profile,profile,profile,904.693,809.723,6.030,5.976,75.803,75.593,24.407,24.407,35662561.333,39263.744,40118.040,35662561.085,93.317,244.369,0.665,0.000,0.000,867.955,0.000,256.000,289.000,1179703.000,262201.000,553.333,178.667,732.000,0.000,0.000,524288.000,1048576.000,1.000,96.000,192.000,192.000
throughput1m,hdd,4,1M,sw,3,yes,throughput,1048576,profile,profile,profile,profile,939.315,777.760,11.428,11.374,0.000,,,,,,,,,,,,,,,,,,,0.000,0.000,0.000,0.000,0.000,524288.000,1048576.000,1.000,96.000,192.000,192.000
throughput1m,hdd,4,512K,qat,3,yes,throughput,1048576,profile,profile,profile,profile,916.772,797.153,7.373,7.327,48.677,48.677,51.323,51.323,20195232.667,21150.812,21915.399,10097616.361,103.107,143.932,0.000,0.000,0.000,781.464,0.000,128.000,145.000,589879.000,131129.000,710.667,749.333,1460.000,0.000,0.000,524288.000,1048576.000,1.000,96.000,192.000,192.000
throughput1m,hdd,4,512K,sw,3,yes,throughput,1048576,profile,profile,profile,profile,996.652,734.540,11.753,11.703,0.000,,,,,,,,,,,,,,,,,,,0.000,0.000,0.000,0.000,0.000,524288.000,1048576.000,1.000,96.000,192.000,192.000
throughput1m,hdd,8,1M,qat,3,yes,throughput,1048576,profile,profile,profile,profile,1268.034,1154.383,5.939,5.860,80.533,79.907,20.093,20.093,29037236.000,38470.761,39793.239,29037236.057,102.318,197.170,0.000,0.000,0.000,868.847,0.000,256.000,289.000,1179703.000,262201.000,1175.667,295.667,1471.333,0.000,0.000,524288.000,1048576.000,1.000,96.000,192.000,192.000
throughput1m,hdd,8,1M,sw,3,yes,throughput,1048576,profile,profile,profile,profile,1409.753,1039.973,12.730,12.662,0.000,,,,,,,,,,,,,,,,,,,0.000,0.000,0.000,0.000,0.000,524288.000,1048576.000,1.000,96.000,192.000,192.000
throughput1m,hdd,8,512K,qat,3,yes,throughput,1048576,profile,profile,profile,profile,1225.163,1191.820,7.551,7.496,53.270,53.157,46.843,46.843,20209334.000,21680.780,22204.324,10104666.889,101.662,150.059,0.000,0.000,0.000,848.487,0.000,128.000,145.000,589879.000,131129.000,1555.333,1370.667,2926.000,0.000,0.000,524288.000,1048576.000,1.000,96.000,192.000,192.000
throughput1m,hdd,8,512K,sw,3,yes,throughput,1048576,profile,profile,profile,profile,1468.500,1008.053,12.748,12.688,0.000,,,,,,,,,,,,,,,,,,,0.000,0.000,0.000,0.000,0.000,524288.000,1048576.000,1.000,96.000,192.000,192.000
throughput1m,nvme,1,1M,qat,3,yes,throughput,1048576,profile,profile,profile,profile,535.379,340.867,3.294,3.217,100.000,100.000,0.000,0.000,14504419.667,150615.592,35933.971,14504419.854,89.818,1199.508,266.284,0.000,0.000,629.053,0.000,256.000,289.000,1179703.000,262201.000,183.000,0.000,183.000,0.000,0.000,524288.000,1048576.000,1.000,96.000,105.000,106.000
throughput1m,nvme,1,1M,sw,3,yes,throughput,1048576,profile,profile,profile,profile,525.202,347.460,9.556,9.500,0.000,,,,,,,,,,,,,,,,,,,0.000,0.000,0.000,0.000,0.000,524288.000,1048576.000,1.000,96.000,112.000,112.000
throughput1m,nvme,1,512K,qat,3,yes,throughput,1048576,profile,profile,profile,profile,515.588,355.300,5.242,5.128,75.077,75.070,24.930,24.930,17165851.000,29508.485,19896.331,8582925.425,87.840,348.126,0.000,0.000,0.000,772.471,0.000,128.000,145.000,589879.000,131129.000,274.000,91.000,365.000,0.000,0.000,524288.000,1048576.000,1.000,96.000,96.000,96.000
throughput1m,nvme,1,512K,sw,3,yes,throughput,1048576,profile,profile,profile,profile,522.027,349.567,9.462,9.424,0.000,,,,,,,,,,,,,,,,,,,0.000,0.000,0.000,0.000,0.000,524288.000,1048576.000,1.000,96.000,96.000,96.000
throughput1m,nvme,4,1M,qat,3,yes,throughput,1048576,profile,profile,profile,profile,778.295,938.163,5.112,5.061,83.660,83.423,16.577,16.577,32119091.000,44051.778,39028.398,32119090.939,92.166,514.727,26.908,0.000,0.000,970.961,0.000,256.000,289.000,1179703.000,262201.000,610.667,121.333,732.000,0.000,0.000,524288.000,1048576.000,1.000,96.000,192.000,192.000
throughput1m,nvme,4,1M,sw,3,yes,throughput,1048576,profile,profile,profile,profile,709.951,1028.357,11.043,10.989,0.000,,,,,,,,,,,,,,,,,,,0.000,0.000,0.000,0.000,0.000,524288.000,1048576.000,1.000,96.000,192.000,192.000
throughput1m,nvme,4,512K,qat,3,yes,throughput,1048576,profile,profile,profile,profile,731.676,998.063,8.177,8.115,45.823,45.823,54.177,54.177,21906093.667,27227.240,23816.545,10953046.830,109.590,207.721,0.000,0.000,0.000,1224.284,0.000,128.000,145.000,589879.000,131129.000,669.000,791.000,1460.000,0.000,0.000,524288.000,1048576.000,1.000,96.000,112.000,112.000
throughput1m,nvme,4,512K,sw,3,yes,throughput,1048576,profile,profile,profile,profile,772.401,945.053,11.291,11.231,0.000,,,,,,,,,,,,,,,,,,,0.000,0.000,0.000,0.000,0.000,524288.000,1048576.000,1.000,96.000,112.000,112.000
throughput1m,nvme,8,1M,qat,3,yes,throughput,1048576,profile,profile,profile,profile,793.012,1841.867,6.048,5.975,69.893,69.317,30.683,30.683,32574019.333,39579.436,39318.343,32574019.395,95.397,241.893,0.000,0.000,0.000,896.673,0.000,256.000,289.000,1179703.000,262201.000,1020.333,451.667,1472.000,0.000,0.000,524288.000,1048576.000,1.000,96.000,192.000,192.000
throughput1m,nvme,8,1M,sw,3,yes,throughput,1048576,profile,profile,profile,profile,766.015,1906.463,11.485,11.434,0.000,,,,,,,,,,,,,,,,,,,0.000,0.000,0.000,0.000,0.000,524288.000,1048576.000,1.000,96.000,192.000,192.000
throughput1m,nvme,8,512K,qat,3,yes,throughput,1048576,profile,profile,profile,profile,781.855,1867.353,7.277,7.211,52.017,51.883,48.117,48.117,20080578.000,23872.949,22316.143,10040289.045,94.746,204.110,0.000,0.000,0.000,1032.236,0.000,128.000,145.000,589879.000,131129.000,1518.667,1408.333,2927.000,0.000,0.000,524288.000,1048576.000,1.000,96.000,192.000,192.000
throughput1m,nvme,8,512K,sw,3,yes,throughput,1048576,profile,profile,profile,profile,830.565,1757.897,11.673,11.596,0.000,,,,,,,,,,,,,,,,,,,0.000,0.000,0.000,0.000,0.000,524288.000,1048576.000,1.000,96.000,192.000,192.000
throughput512,hdd,1,1M,qat,3,yes,throughput,524288,profile,profile,profile,profile,565.534,322.680,9.532,9.457,0.000,,,,,,,,,,,,,,,,,,,0.000,0.000,0.000,0.000,0.000,524288.000,524288.000,1.000,96.000,96.000,96.000
